	gene_symbol	definition
168	groL5	60 kDa chaperonin 5 (GroEL protein 5) (Protein Cpn60 5)
169	groL6	60 kDa chaperonin 6 (GroEL protein 6) (Protein Cpn60 6)
170	groL7	60 kDa chaperonin 7 (GroEL protein 7) (Protein Cpn60 7)
171	groS	10 kDa chaperonin (GroES protein) (Protein Cpn10)
172	groS1	10 kDa chaperonin 1 (GroES protein 1) (Protein Cpn10 1)
173	groS2	10 kDa chaperonin 2 (GroES protein 2) (Protein Cpn10 2)
174	groS3	10 kDa chaperonin 3 (GroES protein 3) (Protein Cpn10 3)
175	groS4	10 kDa chaperonin 4 (GroES protein 4) (Protein Cpn10 4)
176	groS5	10 kDa chaperonin 5 (GroES protein 5) (Protein Cpn10 5)
177	grpE	Protein GrpE (HSP-70 cofactor)
178	grpE1	Protein GrpE 1 (HSP-70 cofactor 1)
179	grpE2	Protein GrpE 2 (HSP-70 cofactor 2)
180	gspB	Putative general secretion pathway protein B
181	gtf1	Glycosyltransferase Gtf1 (EC 2.4.1.-) (Glycosyltransferase GtfA)
182	gtf2	Glycosyltransferase-stabilizing protein Gtf2 (Glycosyltransferase chaperone Gtf2)
184	hdeA	Acid stress chaperone HdeA (10K-S protein)
188	hhoA	Putative serine protease HhoA
189	hhoB	Putative serine protease HhoB
192	hifB	Chaperone protein HifB
199	hisS	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)
200	hpf	Ribosome hibernation promoting factor (HPF) (Hibernation factor HPF) (Fragment)
201	hrcA	Heat-inducible transcription repressor HrcA
202	hscA	Chaperone protein HscA homolog
203	hscB	Co-chaperone protein HscB homolog
204	hscC	Chaperone protein HscC (Hsc62)
205	hslO	33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33)
206	hslR	Heat shock protein 15 (HSP15)
211	hspR	Putative heat shock protein HspR
213	htpG	Chaperone protein HtpG (Heat shock protein HtpG) (High temperature protein G)
214	htpG1	Chaperone protein HtpG (Heat shock protein HtpG) (High temperature protein G)
215	htpG2	Chaperone protein HtpG (Heat shock protein HtpG) (High temperature protein G)
216	htpX	Protease HtpX (EC 3.4.24.-) (Heat shock protein HtpX)
217	htrA	Serine protease Do-like HtrA (EC 3.4.21.107)
218	htrB	Serine protease Do-like HtrB (EC 3.4.21.107) (HtrA-like serine protease)
221	ibpA	Small heat shock protein IbpA (16 kDa heat shock protein A)
222	ibpB	Small heat shock protein IbpB (16 kDa heat shock protein B)
227	ipaH9.8	E3 ubiquitin-protein ligase ipaH9.8 (EC 2.3.2.27) (Invasion plasmid antigen ipaH9.8) (RING-type E3 ubiquitin transferase ipaH9.8)
228	ipgA	Chaperone protein IpgA
229	ipgC	Chaperone protein IpgC
230	ipgE	Chaperone protein IpgE
243	lepA	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)
245	lon	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)
246	lon1	Lon protease 1 (EC 3.4.21.53) (ATP-dependent protease La 1)
247	lon2	Lon protease 2 (EC 3.4.21.53) (ATP-dependent protease La 2)
248	lon3	Lon protease 3 (EC 3.4.21.53) (ATP-dependent protease La 3)
249	lon4	Lon protease 4 (EC 3.4.21.53) (ATP-dependent protease La 4)
250	lpfB	Chaperone protein LpfB
266	mimG	Chaperonin-like protein MimG
268	mpa	Proteasome-associated ATPase (AAA ATPase forming ring-shaped complexes) (ARC) (Mycobacterial proteasome ATPase)
271	mraY	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)
272	mrkB	Chaperone protein MrkB
273	msrP	Protein-methionine-sulfoxide reductase catalytic subunit MsrP (EC 1.8.5.-)
274	msrQ	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ (Flavocytochrome MsrQ)
276	mucD	Probable periplasmic serine endoprotease DegP-like (EC 3.4.21.107) (Protease Do)
279	myfB	Chaperone protein MyfB
282	napD	Chaperone NapD (NapA signal peptide-binding chaperone NapD)
283	nfaE	Chaperone protein NfaE
285	nifM	Putative peptidyl-prolyl cis-trans isomerase NifM (PPIase NifM) (EC 5.2.1.8) (Rotamase NifM)
297	pafA	Pup--protein ligase (EC 6.3.1.19) (Proteasome accessory factor A) (Pup-conjugating enzyme)
298	pafA1	Pup--protein ligase 1 (EC 6.3.1.19) (Proteasome accessory factor A 1) (Pup-conjugating enzyme 1)
299	pafA2	Pup--protein ligase 2 (EC 6.3.1.19) (Proteasome accessory factor A 2) (Pup-conjugating enzyme 2)
300	pafB	Protein PafB (Proteasome accessory factor B)
301	pafC	Protein PafC (Proteasome accessory factor C)
302	pan	Proteasome-activating nucleotidase (PAN) (Proteasomal ATPase) (Proteasome regulatory ATPase) (Proteasome regulatory particle)
303	pan1	Proteasome-activating nucleotidase 1 (PAN 1) (Proteasomal ATPase 1) (Proteasome regulatory ATPase 1) (Proteasome regulatory particle 1)
304	pan2	Proteasome-activating nucleotidase 2 (PAN 2) (Proteasomal ATPase 2) (Proteasome regulatory ATPase 2) (Proteasome regulatory particle 2)
305	papD	Chaperone protein PapD
308	pepB	Peptidase B (EC 3.4.11.23) (Aminopeptidase B)
