	species_name	species_abbreviation	taxonomy	phylum	class
367	Methanothermobacter thermautotrophicus ATCC 29096 		archaea	Euryarchaeota	Methanobacteria
368	Natrialba asiatica ATCC 700177 		archaea	Euryarchaeota	Halobacteria
369	Halobiforma lacisalsi AJ5		archaea	Euryarchaeota	Halobacteria
370	Natrinema altunense JCM 12890		archaea	Euryarchaeota	Halobacteria
371	Halomicrobium mukohataei ATCC 700874 		archaea	Euryarchaeota	Halobacteria
372	Halogranum gelatinilyticum		archaea	Euryarchaeota	Halobacteria
373	Methanolobus tindarius DSM 2278		archaea	Euryarchaeota	Methanomicrobia
374	Halobellus clavatus		archaea	Euryarchaeota	Halobacteria
375	Natrinema pellirubrum DSM 15624 		archaea	Euryarchaeota	Halobacteria
376	Halohasta litchfieldiae		archaea	Euryarchaeota	Halobacteria
377	Halopiger salifodinae		archaea	Euryarchaeota	Halobacteria
378	Natronococcus occultus SP4		archaea	Euryarchaeota	Halobacteria
379	Methanoregula boonei DSM 21154 		archaea	Euryarchaeota	Methanomicrobia
380	Halorientalis sp IM1011		archaea	Euryarchaeota	Halobacteria
381	Haloterrigena daqingensis		archaea	Euryarchaeota	Halobacteria
382	Halomicrobium zhouii		archaea	Euryarchaeota	Halobacteria
383	Halostagnicola larsenii XH-48		archaea	Euryarchaeota	Halobacteria
384	Natronoarchaeum philippinense		archaea	Euryarchaeota	Halobacteria
385	Halobaculum gomorrense		archaea	Euryarchaeota	Halobacteria
386	Halopiger xanaduensis DSM 18323 		archaea	Euryarchaeota	Halobacteria
387	Candidatus Methanoplasma termitum		archaea	Candidatus Thermoplasmatota	Thermoplasmata
388	Methanomethylovorans hollandica DSM 15978 		archaea	Euryarchaeota	Methanomicrobia
389	Halobacterium sp DL1		archaea	Euryarchaeota	Halobacteria
390	Halobacterium jilantaiense		archaea	Euryarchaeota	Halobacteria
391	Methanoculleus taiwanensis		archaea	Euryarchaeota	Methanomicrobia
392	Halorubrum vacuolatum Natronobacterium vacuolatum		archaea	Euryarchaeota	Halobacteria
393	Halorubrum halodurans		archaea	Euryarchaeota	Halobacteria
394	Halopenitus malekzadehii		archaea	Euryarchaeota	Halobacteria
395	Halophilic archaeon DL31		archaea	Euryarchaeota	Halobacteria
396	Halococcus morrhuae DSM 1307		archaea	Euryarchaeota	Halobacteria
397	Halarchaeum acidiphilum MH1-52-1		archaea	Euryarchaeota	Halobacteria
398	Halococcus saccharolyticus DSM 5350		archaea	Euryarchaeota	Halobacteria
399	Thermogymnomonas acidicola		archaea	Candidatus Thermoplasmatota	Thermoplasmata
400	Methanosphaera sp BMS		archaea	Euryarchaeota	Methanobacteria
401	Picrophilus torridus ATCC 700027 		archaea	Candidatus Thermoplasmatota	Thermoplasmata
402	Methanomethylophilus alvus Mx1201		archaea	Candidatus Thermoplasmatota	Thermoplasmata
403	Acidiplasma cupricumulans		archaea	Candidatus Thermoplasmatota	Thermoplasmata
404	Thermoplasmatales archaeon BRNA1		archaea	Candidatus Thermoplasmatota	Thermoplasmata
